"type"	"word"	"n"
"True"	"said"	98966
"True"	"ã"	86289
"True"	"å"	54155
"True"	"trump"	42795
"True"	"u.s"	40943
"True"	"reuters"	28850
"True"	"president"	27170
"True"	"state"	19944
"True"	"government"	18456
"True"	"new"	16906
"True"	"house"	16451
"True"	"states"	16254
"True"	"republican"	16181
"True"	"also"	15942
"True"	"united"	15588
"True"	"people"	14939
"True"	"year"	14249
"True"	"told"	14245
"True"	"one"	13297
"True"	"last"	12754
